"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Lester",14,0,7,36307,62,1,1,0,0
"Mark",13,0,8,35937,62,2,1,0,0
"Paul",12,0,9,36514,62,3,1,1,0
"James",11,0,10,35066,62,4,1,1,1
"Luke",10,0,11,34384,62,5,0,0,0
"Anthony",9,0,12,35233,62,6,0,0,0
"Jordan",8,0,13,33913,62,7,0,0,0
"Simon",7,0,14,33578,62,8,0,0,0
"Paul",14,0,7,36646,63,1,1,1,0
"Lester",14,0,7,35852,63,2,1,0,0
"Mark",12,0,9,36189,63,3,1,1,1
"Anthony",12,0,9,34996,63,4,1,0,0
"Luke",11,0,10,34842,63,5,0,0,0
"James",8,0,13,34597,63,6,0,0,0
"Jordan",8,0,13,33711,63,7,0,0,0
"Simon",5,0,16,32338,63,8,0,0,0
"Mark",14,0,7,36009,64,1,1,1,1
"Paul",13,0,8,36666,64,2,1,1,0
"Lester",12,0,9,35652,64,3,1,0,0
"Luke",11,0,10,35287,64,4,1,0,0
"Anthony",10,0,11,35077,64,5,0,0,0
"James",10,0,11,34632,64,6,0,0,0
"Jordan",10,0,11,33353,64,7,0,0,0
"Simon",4,0,17,33272,64,8,0,0,0
"Lester",13,0,8,35922,65,1,1,0,0
"Mark",13,0,8,35659,65,2,1,0,0
"Paul",12,0,9,36449,65,3,1,1,0
"Luke",12,0,9,34765,65,4,1,1,1
"James",11,0,10,35706,65,5,0,0,0
"Anthony",11,0,10,34894,65,6,0,0,0
"Jordan",8,0,13,33696,65,7,0,0,0
"Simon",4,0,17,33069,65,8,0,0,0
"Paul",13,0,8,36212,66,1,1,1,1
"Mark",12,0,9,36048,66,2,1,0,0
"Anthony",12,0,9,35476,66,3,1,1,0
"Lester",12,0,9,35417,66,4,1,0,0
"Luke",12,0,9,35294,66,5,0,0,0
"James",10,0,11,34947,66,6,0,0,0
"Jordan",8,0,13,34092,66,7,0,0,0
"Simon",5,0,16,33106,66,8,0,0,0
"Lester",15,0,6,36201,67,1,1,0,0
"Luke",14,0,7,35348,67,2,1,0,0
"Paul",12,0,9,37019,67,3,1,1,0
"James",10,0,11,35431,67,4,1,1,1
"Mark",9,0,12,35459,67,5,0,0,0
"Jordan",9,0,12,33815,67,6,0,0,0
"Anthony",8,0,13,35021,67,7,0,0,0
"Simon",7,0,14,33589,67,8,0,0,0
"Lester",15,0,6,36000,68,1,1,1,1
"Paul",13,0,8,36099,68,2,1,1,0
"Luke",12,0,9,34822,68,3,1,0,0
"Anthony",11,0,10,35188,68,4,1,0,0
"Mark",10,0,11,35635,68,5,0,0,0
"James",10,0,11,34634,68,6,0,0,0
"Jordan",9,0,12,33392,68,7,0,0,0
"Simon",4,0,17,32826,68,8,0,0,0
"Paul",14,0,7,36274,69,1,1,1,1
"Lester",14,0,7,35982,69,2,1,0,0
"Mark",14,0,7,35870,69,3,1,1,0
"Anthony",11,0,10,35216,69,4,1,0,0
"Jordan",9,0,12,33511,69,5,0,0,0
"Luke",8,0,13,34511,69,6,0,0,0
"James",8,0,13,34367,69,7,0,0,0
