"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Mark",8,0,13,33195,39,8,0,0,0
"Luke",15,0,6,35807,40,1,1,0,0
"Anthony",14,0,7,34704,40,2,1,0,0
"Lester",12,0,9,35208,40,3,1,1,0
"Mark",10,0,11,33922,40,4,1,1,1
"James",9,0,12,34226,40,5,0,0,0
"Simon",8,0,13,35301,40,6,0,0,0
"Paul",8,0,13,34473,40,7,0,0,0
"Jordan",8,0,13,34003,40,8,0,0,0
"Luke",14,0,7,35874,41,1,1,1,1
"Anthony",13,0,8,35073,41,2,1,1,0
"Lester",11,0,10,35663,41,3,1,0,0
"Paul",10,0,11,35592,41,4,1,0,0
"James",10,0,11,34299,41,5,0,0,0
"Mark",10,0,11,34126,41,6,0,0,0
"Simon",9,0,12,35170,41,7,0,0,0
"Jordan",7,0,14,33497,41,8,0,0,0
"Luke",15,0,6,35628,42,1,1,0,0
"Anthony",13,0,8,34077,42,2,1,0,0
"Lester",12,0,9,35314,42,3,1,1,0
"Simon",9,0,12,34949,42,4,1,1,1
"James",9,0,12,33935,42,5,0,0,0
"Mark",9,0,12,33561,42,6,0,0,0
"Jordan",9,0,12,33541,42,7,0,0,0
"Paul",8,0,13,34983,42,8,0,0,0
"Luke",15,0,6,35876,43,1,1,1,0
"Lester",14,0,7,35705,43,2,1,1,1
"Anthony",14,0,7,34061,43,3,1,0,0
"James",9,0,12,34315,43,4,1,0,0
"Jordan",9,0,12,34211,43,5,0,0,0
"Mark",9,0,12,33833,43,6,0,0,0
"Paul",7,0,14,34727,43,7,0,0,0
"Simon",7,0,14,34600,43,8,0,0,0
"Luke",16,0,5,35673,44,1,1,1,0
"Anthony",14,0,7,35120,44,2,1,0,0
"Lester",11,0,10,34956,44,3,1,1,1
"Mark",11,0,10,34535,44,4,1,0,0
"Simon",9,0,12,35081,44,5,0,0,0
"Paul",8,0,13,35026,44,6,0,0,0
"James",8,0,13,33775,44,7,0,0,0
"Jordan",7,0,14,33616,44,8,0,0,0
"Luke",14,0,7,35884,45,1,1,1,0
"Anthony",14,0,7,34577,45,2,1,1,1
"Lester",12,0,9,35592,45,3,1,0,0
"Mark",11,0,10,34288,45,4,1,0,0
"Jordan",10,0,11,34821,45,5,0,0,0
"Paul",8,0,13,35061,45,6,0,0,0
"Simon",8,0,13,35022,45,7,0,0,0
"James",7,0,14,33594,45,8,0,0,0
"Luke",15,0,6,36316,46,1,1,1,1
"Anthony",14,0,7,34794,46,2,1,1,0
"Lester",12,0,9,35326,46,3,1,0,0
"Simon",10,0,11,35346,46,4,1,0,0
"Mark",10,0,11,34571,46,5,0,0,0
"James",9,0,12,33680,46,6,0,0,0
"Paul",7,0,14,34134,46,7,0,0,0
"Jordan",7,0,14,33380,46,8,0,0,0
"Luke",16,0,5,36598,47,1,1,0,0
"Lester",14,0,7,35589,47,2,1,1,0
"Anthony",13,0,8,35141,47,3,1,0,0
"Mark",10,0,11,33978,47,4,1,1,1
"James",9,0,12,34310,47,5,0,0,0
"Simon",8,0,13,34868,47,6,0,0,0
"Jordan",8,0,13,33225,47,7,0,0,0
"Paul",6,0,15,34770,47,8,0,0,0
"Luke",16,0,5,36962,48,1,1,1,1
"Anthony",15,0,6,34982,48,2,1,0,0
"Lester",12,0,9,35509,48,3,1,1,0
"Simon",9,0,12,35451,48,4,1,0,0
"Paul",9,0,12,35428,48,5,0,0,0
"James",9,0,12,34338,48,6,0,0,0
"Jordan",7,0,14,33559,48,7,0,0,0
"Mark",7,0,14,33311,48,8,0,0,0
"Luke",15,0,6,35680,49,1,1,1,1
"Anthony",14,0,7,34618,49,2,1,1,0
"Mark",11,0,10,34193,49,3,1,0,0
"Jordan",10,0,11,34266,49,4,1,0,0
"Lester",10,0,11,34122,49,5,0,0,0
"James",10,0,11,33797,49,6,0,0,0
"Paul",8,0,13,34567,49,7,0,0,0
"Simon",6,0,15,33678,49,8,0,0,0
"Luke",15,0,6,35383,50,1,1,0,0
"Lester",13,0,8,35430,50,2,1,1,1
"Anthony",13,0,8,35015,50,3,1,0,0
"Mark",10,0,11,34160,50,4,1,1,0
"Simon",9,0,12,34773,50,5,0,0,0
"James",9,0,12,34442,50,6,0,0,0
"Paul",8,0,13,35710,50,7,0,0,0
"Jordan",7,0,14,33516,50,8,0,0,0
"Anthony",15,0,6,34953,51,1,1,1,1
"Luke",13,0,8,35936,51,2,1,0,0
"Lester",13,0,8,35187,51,3,1,1,0
"James",10,0,11,34321,51,4,1,0,0
"Jordan",9,0,12,33927,51,5,0,0,0
"Simon",8,0,13,34913,51,6,0,0,0
"Paul",8,0,13,34877,51,7,0,0,0
"Mark",8,0,13,33733,51,8,0,0,0
"Anthony",15,0,6,34484,52,1,1,1,0
"Luke",14,0,7,35982,52,2,1,1,1
"Lester",13,0,8,35308,52,3,1,0,0
"James",11,0,10,34138,52,4,1,0,0
"Mark",9,0,12,33546,52,5,0,0,0
"Simon",8,0,13,34609,52,6,0,0,0
"Paul",7,0,14,34150,52,7,0,0,0
"Jordan",7,0,14,33412,52,8,0,0,0
"Luke",18,0,3,36657,53,1,1,1,0
"Anthony",13,0,8,34296,53,2,1,0,0
"Lester",12,0,9,35080,53,3,1,1,1
"James",10,0,11,34167,53,4,1,0,0
"Simon",8,0,13,34937,53,5,0,0,0
"Paul",8,0,13,34201,53,6,0,0,0
"Mark",8,0,13,33042,53,7,0,0,0
"Jordan",7,0,14,33582,53,8,0,0,0
"Luke",16,0,5,36127,54,1,1,0,0
"Anthony",13,0,8,33958,54,2,1,1,0
"Lester",11,0,10,34924,54,3,1,0,0
"Mark",11,0,10,34122,54,4,1,1,1
"Simon",10,0,11,35180,54,5,0,0,0
"Paul",8,0,13,35547,54,6,0,0,0
"James",8,0,13,33695,54,7,0,0,0
"Jordan",7,0,14,33151,54,8,0,0,0
"Anthony",16,0,5,35305,55,1,1,0,0
"Luke",15,0,6,36510,55,2,1,0,0
"Lester",13,0,8,35030,55,3,1,1,0
"Paul",9,0,12,34454,55,4,1,1,1
"Mark",9,0,12,33808,55,5,0,0,0
"Simon",8,0,13,35417,55,6,0,0,0
"James",8,0,13,33111,55,7,0,0,0
"Jordan",6,0,15,33121,55,8,0,0,0
"Anthony",15,0,6,34458,56,1,1,1,1
"Luke",14,0,7,35943,56,2,1,0,0
"Lester",13,0,8,35554,56,3,1,1,0
"Simon",11,0,10,36054,56,4,1,0,0
"Paul",9,0,12,35418,56,5,0,0,0
"Mark",8,0,13,33361,56,6,0,0,0
"James",7,0,14,33586,56,7,0,0,0
"Jordan",7,0,14,33009,56,8,0,0,0
"Luke",16,0,5,36282,57,1,1,1,1
"Anthony",16,0,5,34890,57,2,1,0,0
"Lester",12,0,9,35422,57,3,1,1,0
"James",10,0,11,34359,57,4,1,0,0
"Simon",9,0,12,34612,57,5,0,0,0
"Jordan",8,0,13,33843,57,6,0,0,0
"Mark",7,0,14,32906,57,7,0,0,0
"Paul",6,0,15,35315,57,8,0,0,0
"Luke",16,0,5,36514,58,1,1,1,0
"Anthony",14,0,7,35093,58,2,1,1,1
"Lester",13,0,8,35431,58,3,1,0,0
"James",10,0,11,33678,58,4,1,0,0
"Paul",8,0,13,35420,58,5,0,0,0
"Simon",8,0,13,34541,58,6,0,0,0
"Jordan",8,0,13,33776,58,7,0,0,0
"Mark",7,0,14,33525,58,8,0,0,0
"Luke",16,0,5,36390,59,1,1,1,1
"Anthony",14,0,7,34504,59,2,1,0,0
"Lester",11,0,10,35051,59,3,1,1,0
"Jordan",10,0,11,34096,59,4,1,0,0
"Mark",10,0,11,33414,59,5,0,0,0
"Simon",9,0,12,35475,59,6,0,0,0
"James",8,0,13,33947,59,7,0,0,0
"Paul",6,0,15,34261,59,8,0,0,0
"Luke",17,0,4,36415,60,1,1,1,1
"Lester",14,0,7,35378,60,2,1,0,0
"Anthony",14,0,7,35016,60,3,1,1,0
"Simon",9,0,12,35503,60,4,1,0,0
"James",9,0,12,33721,60,5,0,0,0
"Jordan",8,0,13,33517,60,6,0,0,0
"Mark",7,0,14,33733,60,7,0,0,0
"Paul",6,0,15,34552,60,8,0,0,0
"Luke",16,0,5,36028,61,1,1,1,1
"Lester",14,0,7,35504,61,2,1,1,0
"Anthony",13,0,8,34198,61,3,1,0,0
"Paul",9,0,12,34292,61,4,1,0,0
"Jordan",9,0,12,33673,61,5,0,0,0
"Simon",8,0,13,34687,61,6,0,0,0
"James",8,0,13,34147,61,7,0,0,0
"Mark",7,0,14,33537,61,8,0,0,0
"Anthony",15,0,6,34780,62,1,1,0,0
"Luke",14,0,7,36146,62,2,1,0,0
"Lester",12,0,9,35679,62,3,1,1,1
"Paul",10,0,11,35669,62,4,1,1,0
"James",10,0,11,34069,62,5,0,0,0
"Simon",8,0,13,34939,62,6,0,0,0
"Mark",8,0,13,33654,62,7,0,0,0
"Jordan",7,0,14,33140,62,8,0,0,0
"Luke",15,0,6,36360,63,1,1,0,0
"Anthony",13,0,8,34185,63,2,1,1,0
"Simon",11,0,10,35344,63,3,1,0,0
"Lester",11,0,10,35163,63,4,1,1,1
"James",11,0,10,34633,63,5,0,0,0
"Mark",10,0,11,34126,63,6,0,0,0
"Paul",7,0,14,34351,63,7,0,0,0
"Jordan",6,0,15,33445,63,8,0,0,0
"Luke",16,0,5,36051,64,1,1,0,0
"Lester",13,0,8,34731,64,2,1,1,0
"Anthony",13,0,8,34251,64,3,1,0,0
"James",10,0,11,33934,64,4,1,1,1
"Mark",9,0,12,34638,64,5,0,0,0
"Simon",8,0,13,34735,64,6,0,0,0
"Paul",8,0,13,34319,64,7,0,0,0
"Jordan",7,0,14,32982,64,8,0,0,0
"Anthony",14,0,7,34749,65,1,1,1,1
"Luke",13,0,8,36264,65,2,1,1,0
"Simon",10,0,11,35178,65,3,1,0,0
"Lester",10,0,11,34141,65,4,1,0,0
"Mark",10,0,11,34038,65,5,0,0,0
"Paul",9,0,12,35152,65,6,0,0,0
"James",9,0,12,33859,65,7,0,0,0
"Jordan",9,0,12,33363,65,8,0,0,0
"Luke",17,0,4,36648,66,1,1,1,0
"Anthony",14,0,7,34920,66,2,1,1,1
"Lester",10,0,11,34333,66,3,1,0,0
"Jordan",10,0,11,34006,66,4,1,0,0
"Simon",9,0,12,35047,66,5,0,0,0
"James",9,0,12,33592,66,6,0,0,0
"Mark",8,0,13,33558,66,7,0,0,0
"Paul",7,0,14,34326,66,8,0,0,0
"Anthony",15,0,6,34900,67,1,1,1,1
"Luke",14,0,7,35834,67,2,1,1,0
"Mark",12,0,9,34038,67,3,1,0,0
"Lester",10,0,11,34697,67,4,1,0,0
"Paul",9,0,12,35126,67,5,0,0,0
"Simon",8,0,13,35187,67,6,0,0,0
"James",8,0,13,33862,67,7,0,0,0
"Jordan",8,0,13,33559,67,8,0,0,0
"Lester",15,0,6,35539,68,1,1,1,1
"Luke",14,0,7,35624,68,2,1,1,0
"Anthony",14,0,7,34389,68,3,1,0,0
"Simon",9,0,12,34487,68,4,1,0,0
"James",9,0,12,33250,68,5,0,0,0
"Paul",8,0,13,34669,68,6,0,0,0
"Jordan",8,0,13,33688,68,7,0,0,0
"Mark",7,0,14,33748,68,8,0,0,0
"Luke",15,0,6,35991,69,1,1,1,0
"Anthony",15,0,6,34674,69,2,1,1,1
"Lester",13,0,8,35095,69,3,1,0,0
"Simon",10,0,11,35067,69,4,1,0,0
"James",9,0,12,33868,69,5,0,0,0
"Paul",8,0,13,34914,69,6,0,0,0
"Mark",7,0,14,33510,69,7,0,0,0
"Jordan",7,0,14,33067,69,8,0,0,0
"Anthony",15,0,6,35492,70,1,1,1,1
"Luke",14,0,7,35887,70,2,1,1,0
"Lester",12,0,9,34932,70,3,1,0,0
"James",10,0,11,34095,70,4,1,0,0
"Mark",9,0,12,33953,70,5,0,0,0
"Jordan",9,0,12,33475,70,6,0,0,0
"Simon",8,0,13,35011,70,7,0,0,0
"Paul",7,0,14,34389,70,8,0,0,0
"Luke",16,0,5,36153,71,1,1,0,0
"Anthony",13,0,8,33921,71,2,1,0,0
"Lester",12,0,9,34898,71,3,1,1,0
"James",10,0,11,34779,71,4,1,1,1
"Paul",9,0,12,34732,71,5,0,0,0
"Jordan",9,0,12,33973,71,6,0,0,0
"Mark",8,0,13,33255,71,7,0,0,0
"Simon",7,0,14,34555,71,8,0,0,0
"Luke",15,0,6,36523,72,1,1,0,0
"Anthony",12,0,9,34229,72,2,1,0,0
"Paul",10,0,11,35742,72,3,1,1,1
"Lester",10,0,11,34909,72,4,1,1,0
"James",10,0,11,34419,72,5,0,0,0
"Mark",10,0,11,34225,72,6,0,0,0
"Jordan",9,0,12,33389,72,7,0,0,0
"Simon",8,0,13,35007,72,8,0,0,0
"Luke",15,0,6,35962,73,1,1,0,0
