season,round,fixture,team_id,team,coach,team_score,opponent_team_id,opponent_team,opponent_coach,opponent_score,differential,win,draw,loss,position,points,wins,draws,losses,points_for,points_against,pcnt
2016,3,4,,We're Not Gwilty,GARTER,1551,,Brave Hartung,KAPPAZ,1553,-2,0,0,1,3,8,2,0,1,4844,4748,102.02
2016,3,1,,Game of Jones,RICHO,1683,,Bontback Mountain,MELONS,1762,-79,0,0,1,4,4,1,0,2,5041,4981,101.2
2016,3,3,,Such is Fyfe,PMAC,1512,,Cotch Me If Ya Can,JMERC,1558,-46,0,0,1,5,4,1,0,2,4777,4738,100.82
2016,3,3,,Cotch Me If Ya Can,JMERC,1558,,Such is Fyfe,PMAC,1512,46,1,0,0,6,4,1,0,2,4750,4884,97.26
2016,3,2,,Gawn Girl,CHIEF,1757,,Steele Rebuilding,LESTER,1743,14,1,0,0,7,4,1,0,2,4777,5249,91.01
2016,3,2,,Steele Rebuilding,LESTER,1743,,Gawn Girl,CHIEF,1757,-14,0,0,1,8,0,0,0,3,4713,5236,90.01
2016,4,1,,Brave Hartung,KAPPAZ,1614,,Bontback Mountain,MELONS,1575,39,1,0,0,1,16,4,0,0,6750,6167,109.45
2016,4,1,,Bontback Mountain,MELONS,1575,,Brave Hartung,KAPPAZ,1614,-39,0,0,1,2,12,3,0,1,6866,6515,105.39
2016,4,4,,We're Not Gwilty,GARTER,1596,,Steele Rebuilding,LESTER,1642,-46,0,0,1,3,8,2,0,2,6440,6390,100.78
2016,4,2,,Cotch Me If Ya Can,JMERC,1672,,Game of Jones,RICHO,1642,30,1,0,0,4,8,2,0,2,6422,6526,98.41
2016,4,3,,Gawn Girl,CHIEF,1620,,Such is Fyfe,PMAC,1614,6,1,0,0,5,8,2,0,2,6397,6863,93.21
2016,4,3,,Such is Fyfe,PMAC,1614,,Gawn Girl,CHIEF,1620,-6,0,0,1,6,4,1,0,3,6391,6358,100.52
2016,4,2,,Game of Jones,RICHO,1642,,Cotch Me If Ya Can,JMERC,1672,-30,0,0,1,7,4,1,0,3,6683,6653,100.45
2016,4,4,,Steele Rebuilding,LESTER,1642,,We're Not Gwilty,GARTER,1596,46,1,0,0,8,4,1,0,3,6355,6832,93.02
2016,5,2,,Brave Hartung,KAPPAZ,1675,,Cotch Me If Ya Can,JMERC,1554,121,1,0,0,1,20,5,0,0,8425,7721,109.12
2016,5,1,,Bontback Mountain,MELONS,1539,,Steele Rebuilding,LESTER,1675,-136,0,0,1,2,12,3,0,2,8405,8190,102.63
2016,5,4,,Gawn Girl,CHIEF,1610,,We're Not Gwilty,GARTER,1565,45,1,0,0,3,12,3,0,2,8007,8428,95
2016,5,3,,Such is Fyfe,PMAC,1685,,Game of Jones,RICHO,1550,135,1,0,0,4,8,2,0,3,8076,7908,102.12
2016,5,4,,We're Not Gwilty,GARTER,1565,,Gawn Girl,CHIEF,1610,-45,0,0,1,5,8,2,0,3,8005,8000,100.06
2016,5,2,,Cotch Me If Ya Can,JMERC,1554,,Brave Hartung,KAPPAZ,1675,-121,0,0,1,6,8,2,0,3,7976,8201,97.26
2016,5,1,,Steele Rebuilding,LESTER,1675,,Bontback Mountain,MELONS,1539,136,1,0,0,7,8,2,0,3,8030,8371,95.93
2016,5,3,,Game of Jones,RICHO,1550,,Such is Fyfe,PMAC,1685,-135,0,0,1,8,4,1,0,4,8233,8338,98.74
